timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-21 12:21:00+09:00,1.093,1.0961,1.091,1.0957,643134,1.73216E+12,703103.7925,3307,329481,360267.4224,0
2024-11-21 12:24:00+09:00,1.0957,1.101,1.0949,1.1005,968187,1.73216E+12,1063116.504,6719,649319,713058.0846,0
2024-11-21 12:27:00+09:00,1.1005,1.1078,1.0997,1.1077,2092969,1.73216E+12,2311102.515,8113,1418246,1565551.764,0
2024-11-21 12:30:00+09:00,1.1078,1.11,1.1014,1.1057,2757073,1.73216E+12,3052147.282,11173,1841239,2038471.292,0
2024-11-21 12:33:00+09:00,1.1057,1.1085,1.1037,1.1061,1882933,1.73216E+12,2083381.8,7443,1111228,1229416.983,0
2024-11-21 12:36:00+09:00,1.106,1.1094,1.1039,1.1051,971694,1.73216E+12,1075327.428,7791,464595,514201.1703,0
2024-11-21 12:39:00+09:00,1.1051,1.1057,1.1008,1.1049,1164085,1.73216E+12,1283958.589,7325,480426,529863.0511,0
2024-11-21 12:42:00+09:00,1.1049,1.1078,1.1043,1.1045,1391400,1.73216E+12,1539164.519,5679,809648,895683.1081,0
2024-11-21 12:45:00+09:00,1.1046,1.1084,1.1041,1.1084,960797,1.73216E+12,1063210.978,4255,490017,542303.5921,0
2024-11-21 12:48:00+09:00,1.1083,1.1084,1.1031,1.1049,820331,1.73216E+12,907154.5162,4631,406912,450116.0864,0
2024-11-21 12:51:00+09:00,1.1048,1.1051,1.0967,1.0989,2742512,1.73216E+12,3017152.3,7236,707384,778012.7542,0
2024-11-21 12:54:00+09:00,1.0988,1.0991,1.095,1.095,1831249,1.73216E+12,2008795.1,6036,815194,894070.8556,0
2024-11-21 12:57:00+09:00,1.095,1.0972,1.0932,1.0957,942823,1.73216E+12,1032387.03,6269,590034,646212.7304,0
2024-11-21 13:00:00+09:00,1.0956,1.0964,1.0938,1.0961,621766,1.73216E+12,680894.0152,4829,281665,308389.4956,0
2024-11-21 13:03:00+09:00,1.0961,1.0999,1.0953,1.0987,1240171,1.73216E+12,1361263.264,7242,665507,730487.8524,0
2024-11-21 13:06:00+09:00,1.0987,1.1,1.0959,1.096,809317,1.73216E+12,888980.5402,5811,327305,359564.2593,0
2024-11-21 13:09:00+09:00,1.096,1.0988,1.095,1.0982,1007490,1.73216E+12,1105361.012,6735,565396,620286.2266,0
